,sample_id,c_count,d_count,c_d_ratio
0,0,11,31,0.3548387096774194
1,2,12,35,0.34285714285714286
2,5,9,39,0.23076923076923078
3,8,11,27,0.4074074074074074
4,10,17,51,0.3333333333333333
5,12,12,55,0.21818181818181817
6,15,4,18,0.2222222222222222
7,22,13,37,0.35135135135135137
8,28,14,56,0.25
9,30,0,7,0.0
10,32,9,43,0.20930232558139536
11,37,9,35,0.2571428571428571
12,40,14,44,0.3181818181818182
13,41,5,29,0.1724137931034483
14,43,26,125,0.208
15,45,11,53,0.20754716981132076
16,47,20,60,0.3333333333333333
17,55,13,34,0.38235294117647056
18,56,4,23,0.17391304347826086
19,60,7,29,0.2413793103448276
20,65,6,17,0.35294117647058826
21,73,10,34,0.29411764705882354
22,74,7,36,0.19444444444444445
23,79,15,97,0.15463917525773196
24,82,12,30,0.4
25,87,10,33,0.30303030303030304
26,89,30,152,0.19736842105263158
27,97,24,53,0.4528301886792453
28,112,3,15,0.2
29,117,26,81,0.32098765432098764
30,119,1,8,0.125
31,121,2,12,0.16666666666666666
32,123,6,22,0.2727272727272727
33,126,13,45,0.28888888888888886
34,127,6,18,0.3333333333333333
35,131,7,21,0.3333333333333333
36,141,30,119,0.25210084033613445
37,143,2,21,0.09523809523809523
38,144,4,22,0.18181818181818182
39,146,31,111,0.27927927927927926
40,147,9,31,0.2903225806451613
41,149,31,79,0.3924050632911392
42,151,13,51,0.2549019607843137
43,157,1,3,0.3333333333333333
44,159,11,28,0.39285714285714285
45,160,14,34,0.4117647058823529
46,163,12,30,0.4
47,173,10,48,0.20833333333333334
48,175,6,28,0.21428571428571427
49,177,12,30,0.4
50,178,6,17,0.35294117647058826
51,186,4,13,0.3076923076923077
52,190,20,77,0.2597402597402597
53,191,13,43,0.3023255813953488
54,194,14,42,0.3333333333333333
55,195,15,39,0.38461538461538464
56,202,11,30,0.36666666666666664
57,204,22,115,0.19130434782608696
58,209,20,54,0.37037037037037035
59,214,9,22,0.4090909090909091
60,216,8,24,0.3333333333333333
61,218,7,16,0.4375
62,220,15,18,0.8333333333333334
63,223,3,7,0.42857142857142855
64,224,8,10,0.8
65,226,8,10,0.8
66,227,25,90,0.2777777777777778
67,228,30,106,0.2830188679245283
68,231,1,5,0.2
69,235,4,8,0.5
70,239,16,53,0.3018867924528302
71,243,2,5,0.4
72,246,6,25,0.24
73,251,6,9,0.6666666666666666
74,257,7,13,0.5384615384615384
75,258,19,51,0.37254901960784315
76,260,4,13,0.3076923076923077
77,261,18,41,0.43902439024390244
78,267,1,7,0.14285714285714285
79,271,39,160,0.24375
80,272,26,122,0.21311475409836064
81,273,20,75,0.26666666666666666
82,274,19,83,0.2289156626506024
83,278,27,86,0.313953488372093
84,280,44,148,0.2972972972972973
85,285,11,31,0.3548387096774194
86,287,2,14,0.14285714285714285
87,290,7,13,0.5384615384615384
88,292,18,39,0.46153846153846156
89,300,13,45,0.28888888888888886
90,301,10,36,0.2777777777777778
91,302,9,29,0.3103448275862069
92,304,6,28,0.21428571428571427
93,307,7,25,0.28
94,312,6,19,0.3157894736842105
95,313,4,12,0.3333333333333333
96,314,5,21,0.23809523809523808
97,316,4,16,0.25
98,318,10,43,0.23255813953488372
99,319,22,56,0.39285714285714285
100,325,6,25,0.24
101,329,6,29,0.20689655172413793
102,336,15,71,0.2112676056338028
103,338,7,37,0.1891891891891892
104,341,3,10,0.3
105,344,27,89,0.30337078651685395
106,345,17,52,0.3269230769230769
107,348,8,31,0.25806451612903225
108,357,21,80,0.2625
109,358,19,46,0.41304347826086957
110,359,6,11,0.5454545454545454
111,360,5,18,0.2777777777777778
112,362,3,10,0.3
113,370,8,17,0.47058823529411764
114,375,13,40,0.325
115,379,21,69,0.30434782608695654
116,385,5,32,0.15625
117,389,5,27,0.18518518518518517
118,392,1,5,0.2
119,397,18,44,0.4090909090909091
120,400,8,24,0.3333333333333333
121,404,7,29,0.2413793103448276
122,405,1,6,0.16666666666666666
123,407,3,14,0.21428571428571427
124,415,15,32,0.46875
125,417,14,60,0.23333333333333334
126,425,4,16,0.25
127,426,8,25,0.32
128,427,26,79,0.3291139240506329
129,428,30,78,0.38461538461538464
130,430,6,16,0.375
131,436,11,33,0.3333333333333333
132,441,4,40,0.1
133,452,21,67,0.31343283582089554
134,455,6,32,0.1875
135,456,19,62,0.3064516129032258
136,457,8,13,0.6153846153846154
137,458,5,26,0.19230769230769232
138,460,16,55,0.2909090909090909
139,462,14,58,0.2413793103448276
140,466,18,58,0.3103448275862069
